MOC_DEMOGRAFIA_ID;MOC_ZONAS_ID;PK_RANGO_ETARIO_ID;PK_GENERO_ID;POBLACION_VIVIENTE;POBLACION_TRABAJADORA;RANGO_ETARIO;GENERO
418;30;4;0;1575;1520;[40-50);H
419;30;5;1;2329;1844;[50-60);M
420;30;2;1;2276;1803;[20-30);M
421;31;3;0;1605;1539;[30-40);H
422;31;1;1;1078;163;[10-20);M
423;31;6;1;3087;977;[60-INF);M
424;31;2;0;1464;1248;[20-30);H
425;31;0;0;1175;0;[0-10);H
426;31;5;1;1580;1226;[50-60);M
427;31;4;0;1229;1166;[40-50);H
428;31;3;1;1810;1559;[30-40);M
429;31;4;1;1423;1191;[40-50);M
430;31;1;0;1171;186;[10-20);H
431;31;5;0;1224;1161;[50-60);H
432;31;6;0;1980;1076;[60-INF);H
433;31;0;1;1102;0;[0-10);M
434;31;2;1;1522;1192;[20-30);M
435;32;5;1;1030;767;[50-60);M
436;32;4;0;852;806;[40-50);H
437;32;1;1;855;141;[10-20);M
438;32;6;0;1272;670;[60-INF);H
439;32;3;0;1068;1017;[30-40);H
440;32;2;1;1047;844;[20-30);M
441;32;0;0;794;0;[0-10);H
442;32;5;0;856;793;[50-60);H
443;32;4;1;1015;816;[40-50);M
444;32;1;0;883;139;[10-20);H
445;32;3;1;1105;945;[30-40);M
446;32;6;1;1965;464;[60-INF);M
447;32;0;1;799;0;[0-10);M
448;32;2;0;995;860;[20-30);H
449;33;1;0;1038;151;[10-20);H
450;33;2;1;1951;1525;[20-30);M
451;33;0;1;1127;0;[0-10);M
452;33;3;1;2183;1933;[30-40);M
453;33;5;0;1176;1098;[50-60);H
454;33;6;0;1918;1055;[60-INF);H
455;33;4;1;1482;1298;[40-50);M
456;33;2;0;1778;1494;[20-30);H
457;33;1;1;1107;151;[10-20);M
458;33;3;0;1969;1902;[30-40);H
459;33;0;0;1184;0;[0-10);H
460;33;6;1;3205;1018;[60-INF);M
461;33;5;1;1556;1230;[50-60);M
462;33;4;0;1374;1327;[40-50);H
463;34;5;1;1069;861;[50-60);M
464;34;3;1;1557;1346;[30-40);M
465;34;1;0;862;146;[10-20);H
466;34;0;1;792;0;[0-10);M
467;34;6;1;2300;627;[60-INF);M
468;34;2;0;1319;1047;[20-30);H
469;34;4;0;956;896;[40-50);H
470;34;3;0;1440;1357;[30-40);H
471;34;1;1;794;124;[10-20);M
472;34;5;0;800;733;[50-60);H
473;34;0;0;874;0;[0-10);H
474;34;2;1;1247;1011;[20-30);M
475;34;4;1;1112;953;[40-50);M
476;34;6;0;1319;651;[60-INF);H
477;35;2;1;1395;1121;[20-30);M
478;35;3;0;1532;1481;[30-40);H
479;35;6;1;2463;786;[60-INF);M
480;35;5;0;1049;986;[50-60);H
481;35;0;0;1016;0;[0-10);H
482;35;4;1;1299;1092;[40-50);M
483;35;1;1;929;130;[10-20);M
484;35;2;0;1393;1178;[20-30);H
485;35;3;1;1669;1470;[30-40);M
486;35;0;1;980;0;[0-10);M
487;35;4;0;1162;1115;[40-50);H
488;35;5;1;1262;971;[50-60);M
489;35;6;0;1569;859;[60-INF);H
490;35;1;0;886;140;[10-20);H
491;36;3;0;889;827;[30-40);H
492;36;2;1;815;606;[20-30);M
